intern_id,task_completion_time_hours,feedback_rating,attendance_percentage,tasks_completed,tasks_assigned,performance_score,performance_category
INT-0079,49.51,6.38,64.6,11,11,75.62,Average
INT-0080,38.29,9.21,75.76,21,23,100.0,Excel
INT-0081,47.48,7.54,87.67,14,14,90.84,Excel
INT-0082,34.06,6.99,87.48,14,15,91.68,Excel
INT-0083,37.64,7.81,73.62,18,19,98.42,Excel
INT-0084,37.42,7.29,85.43,15,15,93.61,Excel
INT-0085,27.65,7.35,93.2,16,16,100.0,Excel
INT-0086,47.84,6.63,90.99,19,22,93.75,Excel
INT-0087,36.37,5.24,83.14,12,12,85.63,Excel
INT-0088,42.15,5.04,79.79,13,17,74.09,Average
INT-0089,47.77,8.11,78.34,17,21,76.28,Average
INT-0090,47.36,6.81,88.21,20,24,87.04,Excel
INT-0091,49.98,6.37,85.76,21,22,91.24,Excel
INT-0092,40.82,7.21,89.66,14,17,88.0,Excel
INT-0093,36.92,8.31,85.19,21,23,100.0,Excel
INT-0094,41.04,7.45,91.37,14,15,92.54,Excel
INT-0095,21.75,6.28,84.85,25,25,100.0,Excel
INT-0096,24.63,8.92,91.06,14,14,100.0,Excel
INT-0097,26.13,9.41,91.84,23,25,100.0,Excel
INT-0098,30.03,7.89,76.76,15,15,96.4,Excel
INT-0099,46.8,8.56,67.73,24,24,98.56,Excel
INT-0100,31.13,8.94,97.89,20,20,99.45,Excel
INT-0101,37.46,8.78,86.31,13,15,92.13,Excel
INT-0102,57.59,8.06,68.57,13,16,80.89,Excel
INT-0103,37.72,8.04,77.58,20,21,100.0,Excel
INT-0104,50.85,7.93,90.95,20,21,94.16,Excel
INT-0105,30.8,5.66,81.48,18,18,89.58,Excel
INT-0106,39.53,8.18,79.39,17,17,96.57,Excel
INT-0107,30.6,5.3,96.61,21,21,100.0,Excel
INT-0108,37.93,6.09,74.57,18,21,83.73,Excel
INT-0109,52.08,9.02,76.82,11,15,84.38,Excel
INT-0110,21.27,8.38,85.9,16,16,100.0,Excel
INT-0111,47.21,9.28,87.51,17,17,100.0,Excel
INT-0112,44.85,6.82,88.47,22,23,96.22,Excel
INT-0113,34.87,5.59,92.2,24,27,95.59,Excel
INT-0114,24.65,6.86,85.79,22,22,100.0,Excel
INT-0115,42.87,7.34,88.4,18,19,95.03,Excel
INT-0116,35.65,7.31,81.67,20,22,93.57,Excel
INT-0117,44.79,8.79,84.56,14,14,93.38,Excel
INT-0118,42.26,6.69,84.97,16,17,83.6,Excel
INT-0119,61.22,7.69,85.94,12,15,85.45,Excel
INT-0120,39.13,5.82,90.95,12,13,81.26,Excel
INT-0121,29.72,7.83,89.0,19,21,97.94,Excel
INT-0122,44.15,7.2,84.4,18,20,90.18,Excel
INT-0123,44.64,6.15,76.72,20,20,95.13,Excel
INT-0124,58.31,6.87,84.61,17,18,80.79,Excel
INT-0125,52.02,6.94,83.75,17,19,81.76,Excel
INT-0126,46.28,6.82,85.74,18,23,84.54,Excel
INT-0127,59.56,9.68,100.0,15,16,100.0,Excel
INT-0128,27.73,7.06,79.29,20,20,84.13,Excel
INT-0129,34.32,6.86,87.8,15,17,87.39,Excel
INT-0130,30.88,4.26,93.62,19,19,100.0,Excel
INT-0131,37.32,5.95,84.88,20,20,94.09,Excel
INT-0132,25.48,6.83,100.0,15,15,95.88,Excel
INT-0133,49.62,6.24,80.6,16,19,81.29,Excel
INT-0134,39.33,9.13,86.92,15,17,96.4,Excel
INT-0135,24.35,6.97,76.81,17,17,98.96,Excel
INT-0136,29.81,9.0,80.84,14,14,100.0,Excel
INT-0137,45.76,7.29,86.24,21,24,93.38,Excel
INT-0138,52.06,7.25,91.62,20,25,86.89,Excel
INT-0139,65.96,7.08,86.87,16,19,82.72,Excel
INT-0140,76.97,7.21,95.33,21,26,77.57,Average
INT-0141,46.97,9.61,83.15,15,15,89.5,Excel
INT-0142,30.13,3.95,81.01,25,28,81.61,Excel
INT-0143,16.42,4.4,100.0,18,18,92.52,Excel
INT-0144,45.21,6.44,87.55,17,18,83.91,Excel
INT-0145,32.24,7.22,77.52,16,18,85.74,Excel
INT-0146,37.02,8.17,77.75,18,18,95.68,Excel
INT-0147,34.65,7.86,75.52,21,24,88.92,Excel
INT-0148,40.31,6.66,92.43,17,18,78.16,Average
INT-0149,54.79,8.63,80.72,23,25,86.9,Excel
INT-0150,43.88,8.64,85.15,18,20,92.16,Excel
INT-0151,40.1,7.46,83.43,18,20,89.13,Excel
INT-0152,29.57,8.55,90.58,14,14,100.0,Excel
INT-0153,21.9,7.58,76.38,21,23,96.78,Excel
INT-0154,36.16,6.41,74.32,16,20,89.04,Excel
INT-0155,41.35,8.18,86.02,15,15,93.26,Excel
INT-0156,63.22,7.35,89.41,12,17,77.85,Average
INT-0157,43.56,7.2,86.99,25,26,92.27,Excel
INT-0158,53.79,9.26,76.71,15,20,85.34,Excel
INT-0159,36.01,3.77,90.1,11,11,78.15,Average
INT-0160,27.78,5.22,77.31,15,15,88.26,Excel
INT-0161,30.42,5.54,79.31,18,20,87.89,Excel
INT-0162,33.3,6.69,75.5,20,22,86.93,Excel
INT-0163,67.54,6.84,95.71,16,18,85.77,Excel
INT-0164,32.14,5.09,89.7,21,22,94.87,Excel
INT-0165,52.06,5.82,89.44,13,15,78.53,Average
INT-0166,31.16,5.99,95.22,19,20,97.18,Excel
INT-0167,53.18,10.0,100.0,12,15,94.09,Excel
INT-0168,46.62,9.72,68.62,14,19,82.51,Excel
INT-0169,40.12,6.62,77.35,13,17,83.07,Excel
INT-0170,41.51,6.69,78.45,12,14,80.22,Excel
INT-0171,34.14,5.59,76.34,22,24,85.05,Excel
INT-0172,47.35,4.53,74.3,19,24,69.47,Average
INT-0173,36.54,7.04,81.3,21,21,92.74,Excel
INT-0174,27.29,5.8,73.05,18,20,91.45,Excel
INT-0175,26.66,7.08,87.02,21,23,96.58,Excel
INT-0176,44.07,4.96,84.47,10,10,90.43,Excel
INT-0177,60.95,6.13,88.33,18,24,83.41,Excel
INT-0178,43.92,7.41,88.57,18,21,97.29,Excel
INT-0179,40.58,7.71,89.43,20,21,99.83,Excel
INT-0180,45.43,7.78,80.64,18,20,97.95,Excel
INT-0181,57.67,5.35,100.0,11,14,74.76,Average
INT-0182,44.63,8.4,86.11,11,15,75.84,Average
INT-0183,37.07,6.08,67.24,14,18,77.79,Average
INT-0184,55.28,8.09,74.98,17,22,85.02,Excel
INT-0185,47.15,7.19,68.34,19,22,83.94,Excel
INT-0186,60.43,5.27,84.16,10,11,73.36,Average
INT-0187,44.2,6.76,82.9,13,17,89.26,Excel
INT-0188,27.31,7.71,79.78,15,15,97.49,Excel
INT-0189,25.58,8.06,100.0,17,17,100.0,Excel
INT-0190,61.81,7.0,88.94,10,11,73.95,Average
INT-0191,62.68,9.34,90.53,9,15,76.47,Average
INT-0192,39.85,8.61,75.62,14,15,97.64,Excel
INT-0193,37.4,6.84,75.01,17,17,89.14,Excel
INT-0194,59.54,8.25,84.33,10,11,78.38,Average
INT-0195,28.72,9.91,85.56,18,18,100.0,Excel
INT-0196,31.26,9.94,67.29,22,24,97.13,Excel
INT-0197,49.72,5.48,82.38,11,16,71.85,Average
INT-0198,37.26,5.9,84.13,16,18,81.58,Excel
INT-0199,41.94,9.28,82.06,21,23,91.22,Excel
INT-0200,40.04,5.72,76.68,15,19,80.61,Excel
INT-0201,46.05,5.35,79.14,14,19,74.88,Average
INT-0202,58.89,6.52,82.41,20,22,87.26,Excel
INT-0203,43.09,7.79,84.82,16,20,91.05,Excel
INT-0204,49.73,7.06,89.44,20,23,90.88,Excel
INT-0205,17.4,6.29,93.73,21,23,100.0,Excel
INT-0206,41.42,6.26,81.35,16,16,86.26,Excel
INT-0207,31.88,6.2,79.89,20,20,94.39,Excel
INT-0208,27.37,5.97,87.94,19,22,97.92,Excel
INT-0209,31.46,10.0,89.5,22,24,100.0,Excel
INT-0210,37.99,7.62,80.09,15,15,95.97,Excel
INT-0211,52.99,8.44,91.11,16,21,89.26,Excel
INT-0212,26.08,6.52,92.82,18,18,100.0,Excel
INT-0213,42.37,6.94,95.63,20,23,92.33,Excel
INT-0214,36.19,6.2,100.0,13,13,85.08,Excel
INT-0215,38.07,3.49,76.2,21,21,82.89,Excel
INT-0216,54.03,5.27,84.13,18,22,82.34,Excel
INT-0217,48.46,4.67,84.1,11,16,76.39,Average
INT-0218,58.05,4.05,83.12,20,21,78.05,Average
INT-0219,40.15,5.53,78.16,25,25,88.42,Excel
INT-0220,33.65,9.05,70.63,22,23,94.38,Excel
INT-0221,39.31,7.14,84.83,23,23,98.46,Excel
INT-0222,44.91,9.01,77.08,17,20,92.94,Excel
INT-0223,44.12,7.78,84.77,10,14,81.96,Excel
INT-0224,28.99,8.3,76.85,11,13,96.62,Excel
INT-0225,43.09,5.94,74.1,18,18,80.05,Excel
INT-0226,44.74,7.93,86.11,15,15,88.62,Excel
INT-0227,72.21,8.22,85.36,10,16,80.65,Excel
INT-0228,64.52,6.39,89.21,15,16,82.81,Excel
INT-0229,31.76,7.98,100.0,20,21,100.0,Excel
INT-0230,38.55,7.99,86.5,11,12,92.01,Excel
INT-0231,24.44,6.43,88.37,17,18,97.62,Excel
INT-0232,34.91,5.63,74.3,24,24,78.17,Average
INT-0233,45.79,5.54,72.42,12,16,70.68,Average
INT-0234,56.47,7.32,98.25,18,23,88.21,Excel
INT-0235,33.25,7.66,75.69,16,16,90.77,Excel
INT-0236,34.15,6.09,74.6,20,20,90.8,Excel
INT-0237,16.23,7.24,83.65,23,23,100.0,Excel
INT-0238,40.05,8.0,83.19,20,21,93.74,Excel
INT-0239,29.25,8.07,75.88,22,22,94.44,Excel
INT-0240,35.65,9.37,81.26,12,12,97.1,Excel
INT-0241,31.48,8.99,95.06,22,23,100.0,Excel
INT-0242,40.87,5.8,76.75,14,16,80.89,Excel
INT-0243,20.91,9.56,71.46,20,20,100.0,Excel
INT-0244,24.4,6.46,92.48,20,20,100.0,Excel
INT-0245,67.55,8.66,88.43,16,18,74.02,Average
INT-0246,26.55,7.3,78.42,19,21,94.32,Excel
INT-0247,28.84,6.62,69.76,15,15,88.55,Excel
INT-0248,64.04,4.67,77.3,10,11,63.0,Average
INT-0249,76.86,6.96,83.51,16,20,76.74,Average
INT-0250,27.94,5.02,94.49,19,22,97.59,Excel
INT-0251,37.58,8.55,74.67,22,22,96.5,Excel
INT-0252,46.1,9.32,83.24,16,20,91.16,Excel
INT-0253,62.74,6.08,90.08,9,12,72.76,Average
INT-0254,30.16,7.62,62.57,22,22,92.54,Excel
INT-0255,39.06,6.18,93.3,16,16,91.3,Excel
INT-0256,51.33,6.32,73.36,17,17,79.92,Average
INT-0257,47.22,8.28,86.99,13,17,89.0,Excel
INT-0258,37.49,7.15,86.22,24,25,100.0,Excel
INT-0259,40.39,9.64,93.76,13,14,93.06,Excel
INT-0260,25.5,6.52,88.96,17,17,92.78,Excel
INT-0261,39.14,8.6,62.6,17,20,79.46,Average
INT-0262,38.8,7.34,76.94,13,13,91.49,Excel
INT-0263,44.79,8.31,85.24,18,20,94.11,Excel
INT-0264,35.34,6.57,82.25,23,27,95.93,Excel
INT-0265,47.66,7.13,88.3,14,18,79.13,Average
INT-0266,54.15,7.04,91.1,18,21,94.95,Excel
INT-0267,43.87,6.03,89.48,6,10,74.64,Average
INT-0268,46.22,8.13,82.07,16,17,90.63,Excel
INT-0269,42.64,8.11,67.38,16,20,88.77,Excel
INT-0270,42.0,8.03,79.9,14,16,84.22,Excel
INT-0271,33.34,9.35,87.75,22,22,100.0,Excel
INT-0272,45.8,9.23,74.19,15,16,90.68,Excel
INT-0273,40.83,6.68,89.68,16,19,100.0,Excel
INT-0274,67.12,7.72,92.18,12,19,79.02,Average
INT-0275,60.88,6.33,85.14,7,12,77.34,Average
INT-0276,46.63,7.23,56.43,11,11,81.15,Excel
INT-0277,32.84,6.36,72.5,22,22,93.26,Excel
INT-0278,28.65,9.47,100.0,10,12,97.81,Excel
INT-0279,56.29,7.71,79.08,12,15,84.17,Excel
INT-0280,45.15,6.89,66.14,14,18,71.66,Average
INT-0281,47.76,8.87,95.12,23,27,100.0,Excel
INT-0282,21.06,4.16,84.12,22,22,95.02,Excel
INT-0283,53.13,4.38,93.94,14,17,65.74,Average
INT-0284,47.45,8.31,86.49,21,22,93.25,Excel
INT-0285,28.67,7.28,88.13,15,15,99.74,Excel
INT-0286,36.34,7.55,87.27,21,22,96.43,Excel
INT-0287,45.16,5.34,90.28,11,15,82.92,Excel
INT-0288,42.63,7.17,100.0,21,25,93.11,Excel
INT-0289,38.49,10.0,92.74,15,16,95.61,Excel
INT-0290,40.76,8.35,69.78,13,15,85.63,Excel
INT-0291,38.98,7.44,88.02,16,18,92.56,Excel
INT-0292,43.83,6.59,94.27,18,20,89.87,Excel
INT-0293,59.66,6.65,94.82,13,17,86.08,Excel
INT-0294,15.0,4.22,80.16,22,22,91.66,Excel
INT-0295,39.16,7.56,94.48,15,19,94.66,Excel
INT-0296,44.12,8.38,92.35,19,22,96.47,Excel
INT-0297,45.55,4.99,100.0,18,18,82.05,Excel
INT-0298,37.54,6.27,77.25,17,18,81.25,Excel
INT-0299,20.92,5.58,79.43,17,17,93.51,Excel
INT-0300,45.94,5.85,81.24,17,20,91.76,Excel
INT-0301,62.73,7.27,79.59,17,21,81.56,Excel
INT-0302,23.59,4.28,75.99,25,28,83.76,Excel
INT-0303,52.37,8.06,59.14,20,22,67.58,Average
INT-0304,38.06,8.26,80.09,21,21,100.0,Excel
INT-0305,41.26,6.85,87.32,25,27,95.3,Excel
INT-0306,29.37,3.73,79.56,20,23,90.36,Excel
INT-0307,37.99,5.81,100.0,19,19,91.27,Excel
INT-0308,57.6,8.93,84.12,18,19,91.04,Excel
INT-0309,48.99,3.31,95.62,12,17,78.2,Average
INT-0310,62.79,6.71,86.35,13,15,75.56,Average
INT-0311,56.13,5.55,91.44,13,17,75.78,Average
INT-0312,47.27,8.33,86.51,19,23,92.43,Excel
INT-0313,62.93,6.25,96.32,14,16,82.75,Excel
INT-0314,47.27,7.77,84.5,17,19,89.33,Excel
INT-0315,51.94,7.99,88.47,20,21,96.35,Excel
INT-0316,38.44,9.77,87.3,20,20,100.0,Excel
INT-0317,42.8,6.92,81.41,16,16,82.18,Excel
INT-0318,33.63,7.73,87.64,15,15,100.0,Excel
INT-0319,53.88,5.12,100.0,21,23,84.28,Excel
INT-0320,27.86,8.87,81.57,21,22,100.0,Excel
INT-0321,51.39,6.14,87.78,10,10,80.26,Excel
INT-0322,39.71,6.41,95.32,16,20,91.04,Excel
INT-0323,56.05,7.17,94.26,16,21,83.57,Excel
INT-0324,51.01,5.01,84.11,19,19,81.98,Excel
INT-0325,63.85,7.52,62.55,19,25,74.03,Average
INT-0326,50.77,8.55,88.65,17,17,93.46,Excel
INT-0327,23.14,7.61,64.02,21,21,85.16,Excel
INT-0328,41.2,4.98,97.23,17,18,97.14,Excel
INT-0329,27.94,7.03,85.53,15,16,94.19,Excel
INT-0330,35.78,8.24,93.0,16,20,99.5,Excel
INT-0331,60.13,4.57,75.88,15,21,62.49,Average
INT-0332,49.65,5.7,70.03,16,17,75.16,Average
INT-0333,33.61,8.43,86.35,10,11,90.24,Excel
INT-0334,29.84,7.58,83.7,16,19,100.0,Excel
INT-0335,42.39,7.78,79.58,17,20,86.72,Excel
INT-0336,27.4,9.8,84.76,17,20,100.0,Excel
INT-0337,33.95,7.86,100.0,17,17,98.65,Excel
INT-0338,45.74,8.12,91.51,18,19,92.59,Excel
INT-0339,55.86,10.0,93.45,11,15,88.69,Excel
INT-0340,49.31,6.9,91.6,9,13,87.0,Excel
INT-0341,15.0,6.08,97.32,19,20,95.77,Excel
INT-0342,45.65,7.8,82.29,19,23,84.11,Excel
INT-0343,42.86,7.81,65.51,24,27,80.66,Excel
INT-0344,46.97,6.46,82.3,19,22,81.09,Excel
INT-0345,61.39,5.75,91.31,9,11,70.33,Average
INT-0346,17.24,10.0,75.27,18,18,99.79,Excel
INT-0347,34.91,7.66,82.41,19,19,92.61,Excel
INT-0348,49.09,6.17,77.77,17,21,71.81,Average
INT-0349,23.02,8.48,97.52,21,21,100.0,Excel
INT-0350,59.71,7.05,90.75,11,16,83.64,Excel
INT-0351,46.42,6.85,89.86,16,16,91.13,Excel
INT-0352,52.16,7.99,89.59,18,22,90.44,Excel
INT-0353,35.15,5.39,83.66,20,22,84.9,Excel
INT-0354,51.77,7.69,85.78,13,18,76.49,Average
INT-0355,54.82,9.88,73.33,15,17,82.0,Excel
INT-0356,44.79,7.85,64.32,6,7,76.11,Average
INT-0357,44.81,6.67,85.35,15,15,91.21,Excel
INT-0358,45.24,6.49,86.92,14,18,88.31,Excel
INT-0359,31.64,6.63,94.88,14,16,96.87,Excel
INT-0360,40.23,6.84,98.14,18,22,90.88,Excel
INT-0361,40.17,6.67,98.13,17,17,95.0,Excel
INT-0362,46.6,8.48,75.02,7,8,80.39,Excel
INT-0363,54.0,4.77,80.83,17,22,74.52,Average
INT-0364,29.3,8.41,88.32,14,14,100.0,Excel
INT-0365,40.5,6.67,100.0,19,21,87.8,Excel
INT-0366,59.78,7.73,97.32,10,13,81.53,Excel
INT-0367,33.08,5.62,94.07,18,21,98.12,Excel
INT-0368,32.13,9.06,80.51,17,20,91.11,Excel
INT-0369,44.43,8.94,76.05,18,22,88.12,Excel
INT-0370,52.13,8.54,91.1,16,17,89.29,Excel
INT-0371,42.14,5.08,74.09,16,18,78.51,Average
INT-0372,57.95,8.36,81.85,9,14,70.84,Average
INT-0373,52.28,7.77,82.97,10,15,82.62,Excel
INT-0374,52.1,4.95,98.34,14,14,86.01,Excel
INT-0375,48.65,7.17,80.81,16,21,86.13,Excel
INT-0376,69.93,7.71,62.05,12,16,63.47,Average
INT-0377,39.54,7.98,88.54,20,20,98.02,Excel
INT-0378,17.96,7.45,77.71,18,18,96.13,Excel
INT-0379,61.25,7.61,84.38,11,16,75.56,Average
INT-0380,36.51,9.26,83.22,16,16,100.0,Excel
INT-0381,43.29,8.92,81.54,18,18,95.53,Excel
INT-0382,57.71,3.19,91.11,16,22,66.31,Average
INT-0383,22.77,6.76,70.2,25,29,97.58,Excel
INT-0384,26.98,6.97,79.35,15,15,87.52,Excel
INT-0385,22.78,4.75,90.16,19,21,88.85,Excel
INT-0386,32.47,7.33,78.47,20,23,89.32,Excel
INT-0387,47.28,8.95,69.52,16,21,83.75,Excel
INT-0388,48.29,5.68,90.02,14,15,87.44,Excel
INT-0389,45.32,7.67,94.11,10,13,90.01,Excel
INT-0390,25.05,5.92,83.6,16,19,94.24,Excel
INT-0391,15.0,6.26,66.35,16,17,87.28,Excel
INT-0392,42.65,9.27,90.35,10,12,90.08,Excel
INT-0393,36.34,6.44,69.06,14,14,85.22,Excel
INT-0394,47.51,7.85,86.78,12,12,85.28,Excel
INT-0395,50.42,4.58,76.01,18,19,75.87,Average
INT-0396,43.66,9.81,73.56,19,19,97.45,Excel
INT-0397,51.12,8.04,80.02,12,13,82.52,Excel
INT-0398,44.75,6.94,82.35,16,16,88.76,Excel
INT-0399,48.36,8.01,78.2,9,13,87.43,Excel
INT-0400,33.54,5.23,89.3,16,17,88.47,Excel
INT-0401,39.84,8.86,79.99,19,21,100.0,Excel
INT-0402,44.36,6.75,92.82,20,23,94.71,Excel
INT-0403,51.85,6.91,86.53,13,15,76.21,Average
INT-0404,37.28,6.51,77.72,21,22,85.89,Excel
INT-0405,48.25,6.39,76.21,10,11,74.01,Average
INT-0406,38.81,8.17,69.17,12,13,82.1,Excel
INT-0407,40.59,7.56,86.62,20,20,94.91,Excel
INT-0408,51.95,8.11,80.81,23,26,93.74,Excel
INT-0409,18.08,7.19,62.65,21,23,100.0,Excel
INT-0410,26.44,7.92,79.18,18,19,99.34,Excel
INT-0411,24.21,6.61,75.89,10,10,87.31,Excel
INT-0412,15.0,10.0,98.18,12,12,100.0,Excel
INT-0413,33.86,5.0,68.67,19,21,83.36,Excel
INT-0414,50.99,8.97,71.03,15,17,85.42,Excel
INT-0415,38.58,9.12,93.99,13,13,99.46,Excel
INT-0416,44.37,6.01,96.21,17,20,98.52,Excel
INT-0417,55.07,10.0,77.3,15,17,94.31,Excel
INT-0418,57.93,8.59,78.31,19,25,88.7,Excel
INT-0419,41.17,8.56,89.55,18,18,93.35,Excel
INT-0420,58.24,7.24,63.06,20,23,75.36,Average
INT-0421,43.11,6.9,67.25,17,20,81.88,Excel
INT-0422,31.95,6.91,81.47,18,18,90.52,Excel
INT-0423,34.87,7.75,97.95,22,22,100.0,Excel
INT-0424,24.23,9.16,80.08,15,15,100.0,Excel
INT-0425,31.34,7.45,84.91,25,27,95.93,Excel
INT-0426,37.7,5.92,94.2,19,21,98.16,Excel
INT-0427,51.64,8.35,100.0,18,19,96.17,Excel
INT-0428,62.65,8.49,78.81,17,20,74.87,Average
INT-0429,25.41,8.12,83.85,25,28,100.0,Excel
INT-0430,46.71,8.24,100.0,19,24,97.82,Excel
INT-0431,29.51,6.82,70.3,12,12,91.46,Excel
INT-0432,47.7,5.9,93.25,22,25,88.36,Excel
INT-0433,40.43,5.98,74.84,16,16,87.95,Excel
INT-0434,20.03,4.91,84.92,19,19,95.89,Excel
INT-0435,53.14,7.53,81.82,11,16,73.45,Average
INT-0436,34.74,7.08,75.38,20,22,85.3,Excel
INT-0437,35.59,6.58,75.15,14,14,91.85,Excel
INT-0438,29.16,3.06,86.49,18,18,91.12,Excel
INT-0439,34.15,5.45,92.96,17,19,92.53,Excel
INT-0440,47.13,8.77,82.83,24,28,100.0,Excel
INT-0441,39.73,6.27,84.63,25,25,99.27,Excel
INT-0442,45.94,7.7,89.14,16,16,94.83,Excel
INT-0443,46.34,5.25,75.26,16,18,74.54,Average
INT-0444,57.85,9.21,90.66,14,18,95.92,Excel
INT-0445,37.89,7.0,91.37,21,22,99.06,Excel
INT-0446,24.28,7.61,100.0,18,20,100.0,Excel
INT-0447,54.81,10.0,80.62,14,18,85.26,Excel
INT-0448,38.02,9.32,79.88,21,24,99.78,Excel
INT-0449,55.38,6.77,90.92,13,14,75.51,Average
INT-0450,46.6,6.37,91.37,16,21,89.13,Excel
INT-0451,40.43,6.74,79.18,11,14,78.22,Average
INT-0452,46.19,7.91,80.37,19,21,91.94,Excel
INT-0453,65.41,7.05,88.87,22,27,81.3,Excel
INT-0454,66.92,6.65,76.55,17,23,72.45,Average
INT-0455,42.83,9.25,80.31,23,27,94.21,Excel
INT-0456,43.92,7.04,84.81,14,16,85.93,Excel
INT-0457,54.91,10.0,92.96,17,17,100.0,Excel
INT-0458,31.85,7.33,78.56,14,15,97.25,Excel
INT-0459,46.0,9.7,67.42,15,19,88.97,Excel
INT-0460,41.69,7.7,66.75,20,20,88.4,Excel
INT-0461,45.77,8.55,72.67,16,20,90.47,Excel
INT-0462,32.0,6.19,72.18,12,12,89.92,Excel
INT-0463,22.93,6.0,82.61,14,16,87.99,Excel
INT-0464,17.12,7.84,73.3,13,13,96.58,Excel
INT-0465,28.59,8.58,77.68,20,20,92.1,Excel
