intern_id,module_id,rating,completed
INT-0014,M03,3,1
INT-0014,M01,4,1
INT-0014,M15,3,1
INT-0015,M13,3,0
INT-0015,M12,3,1
INT-0015,M11,4,1
INT-0015,M03,4,1
INT-0015,M10,4,1
INT-0015,M04,4,1
INT-0015,M02,3,0
INT-0015,M14,3,1
INT-0015,M07,3,1
INT-0015,M15,3,1
INT-0016,M11,3,0
INT-0016,M09,2,1
INT-0016,M04,4,1
INT-0016,M12,5,1
INT-0016,M08,3,1
INT-0017,M10,4,1
INT-0017,M06,3,0
INT-0017,M11,4,1
INT-0017,M15,3,1
INT-0017,M08,2,1
INT-0017,M04,3,1
INT-0018,M04,4,1
INT-0018,M05,3,1
INT-0018,M09,3,0
INT-0018,M08,3,1
INT-0018,M03,4,1
INT-0018,M13,3,1
INT-0018,M02,5,1
INT-0018,M06,2,1
INT-0018,M11,3,0
INT-0018,M10,3,0
INT-0019,M03,3,1
INT-0019,M12,3,1
INT-0019,M15,3,1
INT-0019,M09,3,1
INT-0019,M13,3,1
INT-0019,M04,3,1
INT-0020,M04,2,1
INT-0020,M11,3,1
INT-0020,M13,2,1
INT-0020,M02,3,1
INT-0020,M15,3,1
INT-0020,M12,2,1
INT-0020,M05,4,1
INT-0021,M07,4,1
INT-0021,M03,3,1
INT-0021,M14,3,1
INT-0021,M12,3,1
INT-0021,M05,3,0
INT-0021,M04,3,1
INT-0021,M06,5,1
INT-0022,M02,3,1
INT-0022,M14,3,1
INT-0022,M09,2,1
INT-0022,M12,3,1
INT-0022,M01,4,1
INT-0022,M15,3,0
INT-0022,M07,3,1
INT-0023,M01,3,1
INT-0023,M14,5,1
INT-0023,M03,4,1
INT-0023,M10,4,1
INT-0023,M12,4,1
INT-0023,M13,5,1
INT-0023,M06,3,0
INT-0024,M14,4,1
INT-0024,M02,3,1
INT-0024,M03,3,0
INT-0024,M06,4,1
INT-0024,M12,3,1
INT-0024,M11,5,1
INT-0024,M10,5,1
INT-0024,M01,2,0
INT-0025,M08,4,1
INT-0025,M14,3,1
INT-0025,M05,5,1
INT-0025,M01,4,1
INT-0025,M10,3,1
INT-0025,M02,4,1
INT-0025,M15,3,1
INT-0025,M03,4,0
INT-0025,M06,4,1
INT-0026,M14,3,1
INT-0026,M04,3,1
INT-0026,M12,4,0
INT-0026,M03,4,1
INT-0026,M07,3,1
INT-0026,M06,3,1
INT-0026,M05,3,1
INT-0027,M07,3,0
INT-0027,M03,4,1
INT-0027,M09,2,0
INT-0027,M11,5,1
INT-0027,M01,4,1
INT-0027,M14,3,1
INT-0027,M05,2,0
INT-0027,M04,3,1
INT-0027,M06,2,1
INT-0027,M08,2,1
INT-0028,M02,4,1
INT-0028,M06,3,1
INT-0028,M09,3,0
INT-0028,M03,4,1
INT-0028,M15,4,1
INT-0028,M05,3,1
INT-0028,M04,4,1
INT-0028,M14,3,1
INT-0028,M01,3,1
INT-0029,M15,3,1
INT-0029,M06,3,0
INT-0029,M10,3,1
INT-0029,M07,3,1
INT-0029,M02,5,1
INT-0029,M13,4,0
INT-0029,M12,5,1
INT-0029,M04,4,1
INT-0029,M09,3,0
INT-0029,M05,4,1
INT-0030,M03,3,1
INT-0030,M10,3,1
INT-0030,M01,5,1
INT-0030,M13,3,0
INT-0030,M05,4,1
INT-0031,M01,4,1
INT-0031,M03,2,1
INT-0031,M12,4,1
INT-0031,M06,3,1
INT-0031,M14,4,1
INT-0031,M15,3,0
INT-0032,M11,4,1
INT-0032,M14,4,1
INT-0032,M02,3,0
INT-0032,M04,3,0
INT-0032,M06,2,0
INT-0032,M12,4,1
INT-0032,M09,2,1
INT-0032,M01,3,1
INT-0032,M03,4,1
INT-0032,M08,2,1
INT-0032,M15,4,1
INT-0033,M01,5,1
INT-0033,M09,3,1
INT-0033,M03,5,1
INT-0033,M15,3,1
INT-0033,M11,4,1
INT-0033,M05,4,1
INT-0033,M08,3,0
INT-0034,M15,2,0
INT-0034,M10,4,1
INT-0034,M02,4,1
INT-0034,M13,4,1
INT-0034,M03,3,1
INT-0034,M12,3,1
INT-0034,M11,4,1
INT-0034,M09,2,1
INT-0035,M03,3,1
INT-0035,M09,3,0
INT-0035,M07,3,0
INT-0035,M14,3,1
INT-0035,M12,3,1
INT-0035,M02,4,1
INT-0035,M01,5,1
INT-0035,M05,4,1
INT-0035,M13,3,1
INT-0035,M08,3,1
INT-0036,M02,4,1
INT-0036,M15,3,0
INT-0036,M09,2,1
INT-0036,M03,4,1
INT-0036,M06,2,1
INT-0036,M08,3,1
INT-0036,M14,4,1
INT-0036,M05,4,1
INT-0036,M07,3,1
INT-0036,M12,5,1
INT-0037,M08,3,1
INT-0037,M05,3,1
INT-0037,M01,5,1
INT-0037,M12,4,1
INT-0037,M15,4,1
INT-0037,M11,3,1
INT-0038,M13,3,0
INT-0038,M06,3,0
INT-0038,M09,3,1
INT-0038,M02,4,1
INT-0038,M04,3,1
INT-0038,M07,3,1
INT-0038,M03,2,0
INT-0038,M05,4,1
INT-0039,M02,5,1
INT-0039,M03,4,1
INT-0039,M13,4,1
INT-0039,M10,3,1
INT-0039,M08,2,1
INT-0039,M15,4,1
INT-0039,M07,3,1
INT-0040,M13,2,1
INT-0040,M04,3,1
INT-0040,M07,5,1
INT-0040,M12,4,1
INT-0040,M03,4,1
INT-0040,M01,5,1
INT-0040,M11,4,1
INT-0040,M14,3,1
INT-0040,M10,4,1
INT-0041,M07,4,1
INT-0041,M02,4,0
INT-0041,M06,3,1
INT-0041,M01,3,1
INT-0041,M09,3,0
INT-0041,M12,4,1
INT-0041,M05,3,0
INT-0041,M04,4,1
INT-0041,M11,4,1
INT-0042,M09,4,1
INT-0042,M03,3,0
INT-0042,M14,4,1
INT-0042,M07,4,1
INT-0042,M01,4,1
INT-0042,M06,4,1
INT-0042,M13,3,1
INT-0043,M02,4,1
INT-0043,M07,4,1
INT-0043,M11,3,1
INT-0043,M06,3,1
INT-0043,M08,5,1
INT-0043,M03,2,0
INT-0044,M04,4,1
INT-0044,M05,3,1
INT-0044,M14,5,1
INT-0044,M03,4,0
INT-0044,M15,3,1
INT-0044,M11,4,1
INT-0044,M12,3,1
INT-0045,M14,3,0
INT-0045,M07,5,1
INT-0045,M09,3,1
INT-0045,M01,4,1
INT-0045,M03,3,1
INT-0045,M13,2,0
INT-0046,M08,3,1
INT-0046,M07,3,1
INT-0046,M02,4,1
INT-0046,M04,2,1
INT-0046,M13,4,1
INT-0046,M05,3,1
INT-0046,M10,3,1
INT-0046,M06,3,1
INT-0046,M11,2,1
INT-0046,M12,3,1
INT-0046,M15,2,1
INT-0047,M12,2,1
INT-0047,M06,3,0
INT-0047,M07,3,1
INT-0047,M11,3,1
INT-0047,M10,4,1
INT-0047,M01,3,0
INT-0047,M04,4,1
INT-0048,M13,4,1
INT-0048,M08,3,1
INT-0048,M01,3,1
INT-0048,M06,3,1
INT-0048,M02,4,1
INT-0048,M10,4,1
INT-0048,M15,3,0
INT-0048,M11,4,0
INT-0048,M04,5,0
INT-0048,M12,3,1
INT-0049,M10,4,1
INT-0049,M13,4,1
INT-0049,M04,4,1
INT-0049,M01,3,1
INT-0049,M09,3,0
INT-0049,M11,5,1
INT-0049,M07,5,1
INT-0049,M15,3,1
INT-0049,M14,3,1
INT-0049,M05,5,1
INT-0050,M02,4,1
INT-0050,M15,3,1
INT-0050,M07,4,1
INT-0050,M05,3,1
INT-0050,M10,3,1
INT-0050,M12,4,1
INT-0050,M11,3,1
INT-0050,M13,3,1
INT-0051,M14,2,0
INT-0051,M15,4,1
INT-0051,M01,3,0
INT-0051,M04,4,1
INT-0051,M10,3,0
INT-0051,M07,3,1
INT-0051,M08,3,1
INT-0051,M12,4,1
INT-0051,M13,4,1
INT-0051,M05,3,1
INT-0051,M06,3,1
INT-0052,M14,4,1
INT-0052,M12,4,1
INT-0052,M03,5,1
INT-0052,M13,3,1
INT-0052,M11,3,1
INT-0052,M07,2,1
INT-0052,M08,3,1
INT-0052,M10,3,1
INT-0052,M02,5,1
INT-0052,M01,4,1
INT-0053,M05,4,1
INT-0053,M01,4,0
INT-0053,M09,4,1
INT-0053,M06,4,1
INT-0053,M02,4,1
INT-0053,M11,4,1
INT-0053,M15,4,1
INT-0053,M04,4,0
INT-0054,M03,3,1
INT-0054,M14,4,1
INT-0054,M07,5,1
INT-0054,M10,5,1
INT-0054,M02,4,0
INT-0054,M04,3,1
INT-0054,M09,3,1
INT-0054,M06,4,1
INT-0055,M11,3,1
INT-0055,M07,4,1
INT-0055,M10,2,1
INT-0055,M02,4,1
INT-0055,M09,4,1
INT-0056,M14,2,1
INT-0056,M12,2,1
INT-0056,M10,4,1
INT-0056,M01,4,0
INT-0056,M08,5,1
INT-0056,M13,4,1
INT-0056,M05,4,1
INT-0056,M03,3,1
INT-0057,M05,2,1
INT-0057,M02,3,1
INT-0057,M11,4,1
INT-0057,M01,4,1
INT-0057,M07,3,1
INT-0057,M14,3,1
INT-0057,M03,3,1
INT-0057,M06,3,1
INT-0057,M10,5,1
INT-0057,M13,3,0
INT-0057,M04,4,1
INT-0058,M10,4,1
INT-0058,M15,3,1
INT-0058,M13,4,1
INT-0058,M03,3,1
INT-0058,M12,2,0
INT-0058,M02,5,1
INT-0059,M12,4,1
INT-0059,M09,2,1
INT-0059,M15,3,0
INT-0059,M05,3,1
INT-0059,M04,4,1
INT-0059,M01,4,1
INT-0059,M08,3,0
INT-0060,M10,4,1
INT-0060,M07,2,1
INT-0060,M12,4,1
INT-0060,M02,4,1
INT-0060,M06,3,1
INT-0060,M14,3,1
INT-0060,M05,3,1
INT-0061,M09,3,0
INT-0061,M07,4,1
INT-0061,M03,3,1
INT-0061,M14,4,1
INT-0061,M06,5,1
INT-0061,M04,3,1
INT-0061,M05,5,1
INT-0061,M12,3,1
INT-0061,M13,4,1
INT-0061,M10,5,1
INT-0061,M02,5,1
INT-0062,M12,4,1
INT-0062,M07,4,0
INT-0062,M13,3,1
INT-0062,M05,4,0
INT-0062,M11,4,1
INT-0062,M08,3,1
INT-0062,M06,3,1
INT-0062,M09,3,0
INT-0062,M14,3,1
INT-0062,M02,5,1
INT-0062,M10,4,1
INT-0063,M06,4,1
INT-0063,M07,3,1
INT-0063,M03,3,1
INT-0063,M08,2,1
INT-0063,M02,3,0
INT-0063,M15,3,1
INT-0063,M10,4,1
INT-0063,M13,3,1
INT-0063,M11,4,1
INT-0063,M12,3,1
INT-0063,M01,4,1
INT-0064,M01,5,1
INT-0064,M04,3,1
INT-0064,M13,3,1
INT-0064,M07,4,1
INT-0064,M14,4,1
INT-0064,M08,3,0
INT-0064,M12,4,1
INT-0064,M03,3,1
INT-0064,M11,4,0
INT-0064,M05,4,1
INT-0065,M15,3,1
INT-0065,M02,4,1
INT-0065,M08,2,0
INT-0065,M06,5,1
INT-0065,M05,4,1
INT-0066,M01,4,0
INT-0066,M15,3,1
INT-0066,M11,4,1
INT-0066,M12,3,1
INT-0066,M14,3,0
INT-0066,M10,4,1
INT-0066,M06,4,1
INT-0066,M04,3,1
INT-0066,M07,4,1
INT-0066,M09,1,1
INT-0066,M05,4,1
INT-0067,M13,3,1
INT-0067,M11,4,0
INT-0067,M04,3,1
INT-0067,M01,5,1
INT-0067,M08,4,1
INT-0067,M07,4,1
INT-0068,M06,4,1
INT-0068,M01,4,0
INT-0068,M12,3,0
INT-0068,M14,4,1
INT-0068,M10,4,1
INT-0069,M09,3,1
INT-0069,M03,4,1
INT-0069,M11,3,0
INT-0069,M06,3,1
INT-0069,M15,3,1
INT-0069,M10,2,1
INT-0069,M14,3,1
INT-0069,M12,4,1
INT-0069,M07,3,1
INT-0069,M05,3,1
INT-0069,M02,4,1
INT-0070,M04,3,1
INT-0070,M03,4,1
INT-0070,M13,1,0
INT-0070,M11,4,1
INT-0070,M02,3,1
INT-0070,M12,3,1
INT-0071,M12,4,0
INT-0071,M02,5,1
INT-0071,M08,4,0
INT-0071,M09,5,1
INT-0071,M14,3,0
INT-0071,M05,3,1
INT-0071,M03,3,1
INT-0072,M07,3,1
INT-0072,M08,3,1
INT-0072,M14,4,1
INT-0072,M05,3,1
INT-0072,M15,4,1
INT-0072,M03,3,0
INT-0072,M13,2,1
INT-0072,M12,3,1
INT-0072,M01,3,1
INT-0072,M02,4,0
INT-0073,M03,4,1
INT-0073,M10,4,1
INT-0073,M15,4,1
INT-0073,M01,3,1
INT-0073,M04,3,0
INT-0074,M13,3,1
INT-0074,M11,4,1
INT-0074,M05,4,1
INT-0074,M12,4,1
INT-0074,M07,5,1
INT-0074,M10,4,1
INT-0074,M03,4,1
INT-0075,M09,3,1
INT-0075,M07,3,1
INT-0075,M12,4,1
INT-0075,M02,4,1
INT-0075,M10,4,1
INT-0075,M08,2,0
INT-0075,M15,3,1
INT-0075,M14,3,1
INT-0075,M01,4,1
INT-0075,M13,3,1
INT-0076,M12,2,1
INT-0076,M07,3,1
INT-0076,M06,3,0
INT-0076,M08,3,1
INT-0076,M09,2,1
INT-0076,M03,4,1
INT-0076,M04,4,1
INT-0077,M06,4,1
INT-0077,M03,5,1
INT-0077,M05,4,1
INT-0077,M14,3,0
INT-0077,M10,3,1
INT-0077,M08,3,0
INT-0077,M13,3,1
INT-0077,M12,3,1
INT-0077,M04,5,1
INT-0077,M01,5,0
INT-0078,M04,4,1
INT-0078,M07,3,0
INT-0078,M10,3,1
INT-0078,M09,3,1
INT-0078,M05,4,1
INT-0078,M01,3,1
INT-0078,M11,4,1
INT-0078,M14,3,0
INT-0078,M12,3,1
INT-0079,M08,3,1
INT-0079,M07,5,1
INT-0079,M10,4,1
INT-0079,M11,4,1
INT-0079,M01,4,1
INT-0079,M12,4,1
INT-0079,M02,3,1
INT-0079,M06,5,0
INT-0079,M09,3,1
INT-0079,M14,3,1
INT-0079,M05,5,1
INT-0080,M14,4,0
INT-0080,M12,3,1
INT-0080,M08,4,1
INT-0080,M15,3,1
INT-0080,M05,5,1
INT-0080,M06,4,0
INT-0081,M09,4,1
INT-0081,M05,5,1
INT-0081,M08,3,0
INT-0081,M04,3,1
INT-0081,M15,3,1
INT-0081,M01,5,1
INT-0081,M03,4,1
INT-0082,M03,5,1
INT-0082,M15,2,1
INT-0082,M04,4,1
INT-0082,M08,3,1
INT-0082,M06,4,1
INT-0082,M07,3,1
INT-0082,M02,5,1
INT-0082,M01,4,1
INT-0083,M04,3,1
INT-0083,M03,4,1
INT-0083,M14,3,1
INT-0083,M11,4,1
INT-0083,M09,4,1
INT-0083,M13,4,1
INT-0083,M02,5,1
INT-0083,M01,4,1
INT-0083,M12,4,1
INT-0084,M01,5,1
INT-0084,M03,4,1
INT-0084,M13,3,1
INT-0084,M07,3,0
INT-0084,M06,3,1
INT-0084,M11,4,1
INT-0084,M05,3,1
INT-0085,M14,4,1
INT-0085,M11,3,1
INT-0085,M02,4,1
INT-0085,M03,4,1
INT-0085,M06,3,1
INT-0085,M13,3,1
INT-0085,M07,3,1
INT-0086,M02,5,1
INT-0086,M09,3,1
INT-0086,M15,4,1
INT-0086,M08,4,1
INT-0086,M01,4,1
INT-0086,M10,3,1
INT-0087,M07,4,1
INT-0087,M08,3,1
INT-0087,M15,3,1
INT-0087,M04,3,0
INT-0087,M13,3,1
INT-0087,M12,4,1
INT-0087,M14,4,1
INT-0087,M03,4,1
INT-0087,M09,4,1
INT-0087,M01,5,1
INT-0088,M03,4,1
INT-0088,M11,4,1
INT-0088,M05,3,1
INT-0088,M08,3,1
INT-0088,M07,4,1
INT-0088,M10,4,1
INT-0089,M05,3,1
INT-0089,M01,5,1
INT-0089,M12,4,1
INT-0089,M09,3,1
INT-0089,M15,3,0
INT-0089,M08,2,1
INT-0089,M14,4,1
INT-0089,M11,3,1
INT-0089,M06,3,1
INT-0089,M04,4,1
INT-0090,M01,5,1
INT-0090,M04,2,1
INT-0090,M03,2,1
INT-0090,M09,4,1
INT-0090,M12,3,0
INT-0090,M07,4,1
INT-0090,M02,3,0
INT-0090,M10,3,1
INT-0090,M11,4,1
INT-0091,M11,2,1
INT-0091,M02,4,1
INT-0091,M12,4,1
INT-0091,M05,4,1
INT-0091,M10,4,1
INT-0091,M14,4,1
INT-0092,M06,4,1
INT-0092,M04,3,1
INT-0092,M05,4,1
INT-0092,M02,5,1
INT-0092,M11,4,1
INT-0092,M12,3,1
INT-0092,M15,3,1
INT-0092,M03,3,1
INT-0092,M01,3,1
INT-0092,M09,4,1
INT-0092,M07,3,1
INT-0093,M09,3,1
INT-0093,M12,3,1
INT-0093,M07,4,1
INT-0093,M15,3,1
INT-0093,M08,4,1
INT-0093,M01,4,0
INT-0094,M08,3,1
INT-0094,M12,3,1
INT-0094,M04,4,1
INT-0094,M02,4,1
INT-0094,M03,4,1
INT-0094,M14,3,1
INT-0094,M11,4,1
INT-0094,M15,3,1
INT-0095,M15,3,1
INT-0095,M14,2,1
INT-0095,M06,4,1
INT-0095,M10,5,1
INT-0095,M02,4,1
INT-0095,M09,4,1
INT-0095,M04,4,1
INT-0095,M01,3,0
INT-0095,M12,2,0
INT-0095,M03,3,1
INT-0095,M07,3,0
INT-0096,M06,4,1
INT-0096,M04,3,0
INT-0096,M11,4,1
INT-0096,M10,3,1
INT-0096,M15,3,0
INT-0096,M02,4,1
INT-0096,M13,3,1
INT-0096,M01,3,1
INT-0096,M07,4,1
INT-0097,M14,3,1
INT-0097,M03,4,1
INT-0097,M07,3,0
INT-0097,M15,4,0
INT-0097,M02,4,0
INT-0097,M04,4,1
INT-0098,M07,3,1
INT-0098,M03,4,1
INT-0098,M13,4,1
INT-0098,M10,3,1
INT-0098,M12,4,1
INT-0098,M11,3,1
INT-0099,M05,3,1
INT-0099,M01,3,1
INT-0099,M03,3,1
INT-0099,M04,3,1
INT-0099,M10,3,0
INT-0099,M12,4,1
INT-0099,M09,2,1
INT-0099,M15,3,0
INT-0100,M04,3,1
INT-0100,M11,4,1
INT-0100,M15,4,1
INT-0100,M03,3,1
INT-0100,M13,4,1
INT-0100,M02,4,1
INT-0100,M14,5,1
INT-0101,M08,4,1
INT-0101,M14,5,1
INT-0101,M09,4,1
INT-0101,M15,5,1
INT-0101,M13,4,1
INT-0102,M14,3,1
INT-0102,M06,4,1
INT-0102,M01,5,1
INT-0102,M05,4,1
INT-0102,M08,2,1
INT-0102,M15,3,1
INT-0103,M15,4,1
INT-0103,M08,3,1
INT-0103,M14,3,1
INT-0103,M11,5,1
INT-0103,M05,4,1
INT-0103,M04,5,1
INT-0103,M02,5,1
INT-0103,M12,3,1
INT-0103,M06,4,1
INT-0103,M13,4,1
INT-0103,M03,4,1
INT-0104,M09,3,1
INT-0104,M11,4,0
INT-0104,M15,5,1
INT-0104,M06,4,0
INT-0104,M08,3,1
INT-0104,M02,3,0
INT-0104,M01,4,0
INT-0104,M03,3,1
INT-0104,M07,2,1
INT-0104,M04,4,1
INT-0104,M10,4,1
INT-0105,M05,4,1
INT-0105,M09,3,0
INT-0105,M02,5,1
INT-0105,M07,4,1
INT-0105,M03,3,0
INT-0105,M15,3,1
INT-0105,M04,3,1
INT-0106,M13,3,1
INT-0106,M04,3,0
INT-0106,M05,5,1
INT-0106,M12,3,0
INT-0106,M02,4,1
INT-0106,M08,4,1
INT-0106,M01,3,1
INT-0106,M07,4,1
INT-0107,M05,3,0
INT-0107,M01,3,0
INT-0107,M11,5,1
INT-0107,M10,4,1
INT-0107,M02,4,1
INT-0107,M06,3,0
INT-0107,M07,3,1
INT-0107,M15,3,1
INT-0107,M14,3,1
INT-0108,M13,3,0
INT-0108,M02,4,1
INT-0108,M14,3,0
INT-0108,M10,4,1
INT-0108,M07,4,1
INT-0108,M09,3,1
INT-0109,M06,4,1
INT-0109,M02,5,0
INT-0109,M07,3,0
INT-0109,M05,3,1
INT-0109,M08,4,0
INT-0109,M12,4,0
INT-0109,M11,4,1
INT-0109,M13,3,0
INT-0109,M03,4,1
INT-0110,M02,4,1
INT-0110,M04,4,1
INT-0110,M10,3,0
INT-0110,M03,3,0
INT-0110,M11,4,1
INT-0110,M15,4,1
INT-0110,M08,2,1
INT-0111,M07,2,0
INT-0111,M14,3,1
INT-0111,M08,3,1
INT-0111,M04,3,0
INT-0111,M06,2,0
INT-0111,M13,4,0
INT-0111,M03,4,1
INT-0111,M09,4,1
INT-0112,M09,2,1
INT-0112,M11,2,1
INT-0112,M01,4,1
INT-0112,M15,3,1
INT-0112,M02,4,1
INT-0112,M05,3,1
INT-0112,M12,5,1
INT-0112,M03,4,1
INT-0113,M05,3,1
INT-0113,M15,3,0
INT-0113,M02,3,1
INT-0113,M03,3,1
INT-0113,M11,4,1
INT-0113,M13,3,1
INT-0113,M09,3,1
INT-0113,M04,4,1
INT-0113,M10,5,1
INT-0113,M07,2,1
INT-0114,M01,4,0
INT-0114,M05,4,1
INT-0114,M04,3,1
INT-0114,M12,5,1
INT-0114,M02,4,1
INT-0114,M08,2,1
INT-0114,M15,3,1
INT-0115,M02,4,1
INT-0115,M03,4,1
INT-0115,M15,3,1
INT-0115,M06,4,1
INT-0115,M11,3,1
INT-0116,M10,3,1
INT-0116,M06,3,1
INT-0116,M11,4,1
INT-0116,M08,2,1
INT-0116,M12,3,0
INT-0117,M06,5,1
INT-0117,M07,4,1
INT-0117,M10,4,1
INT-0117,M12,3,1
INT-0117,M04,2,1
INT-0118,M12,3,1
INT-0118,M09,4,1
INT-0118,M06,4,1
INT-0118,M04,3,1
INT-0118,M01,4,0
INT-0118,M02,5,1
INT-0118,M15,3,1
INT-0118,M14,3,1
INT-0118,M05,5,1
INT-0118,M11,3,1
INT-0119,M10,4,1
INT-0119,M05,2,1
INT-0119,M01,5,1
INT-0119,M11,4,1
INT-0119,M04,3,1
INT-0119,M07,3,1
INT-0119,M14,3,1
INT-0119,M09,3,1
INT-0119,M13,2,0
INT-0119,M12,3,1
INT-0120,M06,5,0
INT-0120,M02,4,1
INT-0120,M10,3,1
INT-0120,M03,3,1
INT-0120,M11,4,1
INT-0120,M12,3,1
INT-0120,M09,4,1
INT-0121,M06,4,1
INT-0121,M08,3,1
INT-0121,M15,3,0
INT-0121,M01,3,0
INT-0121,M07,5,1
INT-0121,M05,5,1
INT-0121,M02,4,1
INT-0121,M04,3,1
INT-0121,M10,4,1
INT-0121,M13,2,1
INT-0121,M11,4,1
INT-0122,M11,4,1
INT-0122,M10,3,1
INT-0122,M02,3,1
INT-0122,M13,3,1
INT-0122,M03,3,0
INT-0122,M06,4,1
INT-0123,M03,5,1
INT-0123,M06,3,0
INT-0123,M09,2,1
INT-0123,M10,3,1
INT-0123,M15,3,1
INT-0123,M13,3,1
INT-0123,M12,4,1
INT-0123,M11,3,1
INT-0123,M04,4,1
INT-0123,M01,4,1
INT-0124,M14,3,0
INT-0124,M12,3,1
INT-0124,M04,3,1
INT-0124,M11,4,1
INT-0124,M13,2,1
INT-0124,M07,4,1
INT-0124,M09,3,0
INT-0124,M10,4,1
INT-0125,M12,4,1
INT-0125,M03,5,1
INT-0125,M05,3,1
INT-0125,M06,3,0
INT-0125,M07,4,1
INT-0125,M09,3,1
INT-0125,M10,4,0
INT-0125,M02,4,1
INT-0126,M05,4,1
INT-0126,M01,5,1
INT-0126,M08,3,1
INT-0126,M15,3,0
INT-0126,M06,3,1
INT-0126,M13,3,1
INT-0126,M04,3,1
INT-0126,M07,5,1
INT-0127,M09,3,1
INT-0127,M08,3,1
INT-0127,M02,3,0
INT-0127,M07,4,1
INT-0127,M04,4,1
INT-0127,M01,4,0
INT-0127,M05,3,0
INT-0127,M13,4,1
INT-0127,M14,3,1
INT-0127,M12,3,0
INT-0127,M06,2,1
INT-0128,M04,4,1
INT-0128,M01,5,1
INT-0128,M15,4,1
INT-0128,M08,2,1
INT-0128,M07,3,1
INT-0128,M02,5,1
INT-0128,M06,3,1
INT-0128,M09,3,1
INT-0128,M11,3,1
INT-0128,M03,4,1
INT-0128,M12,4,1
INT-0129,M15,3,1
INT-0129,M12,5,1
INT-0129,M06,3,1
INT-0129,M03,4,1
INT-0129,M13,3,1
INT-0129,M09,2,1
INT-0130,M11,4,0
INT-0130,M04,3,1
INT-0130,M05,4,1
INT-0130,M13,4,1
INT-0130,M14,3,1
INT-0130,M12,3,1
INT-0130,M01,5,1
INT-0130,M03,3,1
INT-0130,M09,2,0
INT-0131,M08,3,1
INT-0131,M05,4,0
INT-0131,M12,4,1
INT-0131,M07,3,1
INT-0131,M10,3,1
INT-0131,M13,3,0
INT-0131,M03,3,1
INT-0131,M11,4,0
INT-0132,M09,4,1
INT-0132,M06,4,0
INT-0132,M02,3,1
INT-0132,M10,4,1
INT-0132,M12,3,1
INT-0133,M08,2,1
INT-0133,M15,5,1
INT-0133,M01,3,1
INT-0133,M07,4,1
INT-0133,M06,4,1
INT-0133,M04,4,1
INT-0133,M09,3,1
INT-0133,M11,4,1
INT-0133,M02,5,1
INT-0134,M08,4,1
INT-0134,M04,5,1
INT-0134,M06,4,1
INT-0134,M07,3,0
INT-0134,M05,4,1
INT-0135,M01,4,1
INT-0135,M08,3,0
